PM2.5,PM10,NO2,SO2,CO,O3,AQI,Category
19.8,32.6,51.7,21.7,0.61,45.9,63.2,Satisfactory
32.7,28.6,19.6,3.9,1.0,16.8,50.2,Satisfactory
29.4,57.8,19.8,15.1,0.26,42.5,56.0,Satisfactory
72.2,115.8,36.1,34.2,0.95,69.2,134.7,Moderate
46.4,103.4,26.3,11.0,0.1,20.6,100.9,Moderate
63.1,110.9,22.2,7.2,1.15,55.6,113.3,Moderate
73.9,92.7,57.0,35.8,1.32,61.3,142.9,Moderate
54.1,93.4,67.1,29.6,1.24,72.2,98.0,Satisfactory
145.4,218.8,53.3,23.0,1.61,25.2,318.9,Very Poor
49.1,77.7,20.5,23.2,1.0,24.4,83.4,Satisfactory
159.4,309.9,77.5,40.7,2.44,80.7,331.2,Very Poor
23.2,17.3,5.7,2.6,0.0,11.8,39.9,Good
23.1,66.9,0.0,13.7,0.87,84.3,83.7,Satisfactory
24.0,56.6,23.3,13.9,0.0,43.1,52.4,Satisfactory
60.4,115.0,37.1,20.3,1.61,54.9,105.3,Moderate
79.4,99.1,75.2,18.2,1.4,81.3,160.9,Moderate
105.3,192.8,55.9,33.8,0.94,38.6,252.5,Poor
137.9,244.4,91.5,46.9,2.28,147.3,315.2,Very Poor
92.7,121.6,69.4,17.8,2.04,73.3,211.4,Poor
55.9,73.8,0.0,5.2,0.53,20.5,95.7,Satisfactory
132.7,219.6,61.4,17.4,1.02,74.6,309.1,Very Poor
32.3,70.0,10.9,0.0,0.0,6.1,72.6,Satisfactory
32.2,58.9,0.0,7.5,0.39,0.0,60.0,Satisfactory
89.2,139.2,37.9,31.2,1.82,75.3,208.9,Poor
104.6,209.1,47.3,33.6,1.17,60.3,247.3,Poor
43.6,83.6,3.8,9.3,1.38,36.3,80.4,Satisfactory
89.0,101.9,52.7,19.5,2.63,77.7,190.6,Moderate
81.7,109.9,50.3,31.0,1.99,41.0,171.4,Moderate
24.4,19.7,0.0,15.2,1.42,35.6,66.5,Satisfactory
32.3,65.8,39.6,4.7,0.81,0.0,62.7,Satisfactory
0.0,0.0,5.4,7.3,1.08,0.0,57.5,Satisfactory
78.2,113.6,43.0,26.7,1.37,67.3,162.7,Moderate
29.7,81.6,25.7,19.9,0.98,22.5,81.0,Satisfactory
68.1,80.9,64.7,29.6,1.21,83.0,128.1,Moderate
65.4,106.3,63.2,32.1,1.55,67.3,121.9,Moderate
30.2,55.6,44.5,22.3,1.25,61.1,62.4,Satisfactory
37.2,61.5,32.9,12.7,0.89,46.9,59.6,Satisfactory
83.8,145.7,39.9,20.2,1.15,34.8,176.8,Moderate
0.0,26.6,0.0,2.8,0.57,3.7,25.9,Good
22.9,33.9,15.5,0.0,0.0,0.6,37.5,Good
37.3,95.6,51.7,16.0,1.55,59.2,96.6,Satisfactory
61.5,103.4,58.0,32.9,1.36,69.5,104.9,Moderate
27.5,46.6,33.8,15.6,1.44,0.0,74.4,Satisfactory
21.7,65.3,0.0,0.0,0.06,0.0,63.7,Satisfactory
3.7,12.4,14.5,18.9,0.18,71.6,75.2,Satisfactory
122.6,146.6,108.3,42.9,3.26,78.1,300.2,Very Poor
23.2,50.9,12.1,6.5,0.13,27.5,47.7,Good
129.2,233.4,71.1,28.7,3.28,116.6,304.8,Very Poor
44.3,107.3,58.9,31.6,0.72,54.4,106.8,Moderate
105.4,168.6,25.6,14.2,0.54,59.6,253.4,Poor
32.3,76.0,2.4,13.4,1.03,34.3,69.8,Satisfactory
76.2,117.4,37.9,20.9,1.03,63.7,156.9,Moderate
69.1,84.6,44.0,18.1,1.51,44.3,128.6,Moderate
18.0,21.7,31.2,12.9,0.73,47.3,49.6,Good
7.1,0.0,0.0,19.7,1.18,10.0,60.9,Satisfactory
48.2,78.7,13.7,0.0,0.94,19.9,76.1,Satisfactory
0.0,0.0,37.3,14.8,0.36,44.6,46.9,Good
24.8,29.6,25.1,5.2,0.15,53.5,59.3,Satisfactory
42.6,64.3,18.2,9.1,0.54,17.7,71.1,Satisfactory
25.4,46.9,14.4,8.2,1.22,45.0,58.0,Satisfactory
172.9,282.9,78.1,49.7,2.26,73.9,335.8,Very Poor
19.0,42.3,0.0,5.3,0.0,2.0,42.5,Good
30.0,64.6,35.9,28.4,0.0,19.1,66.4,Satisfactory
73.9,151.6,42.9,26.9,1.48,88.4,147.2,Moderate
6.1,17.5,17.9,1.8,0.5,56.5,59.1,Satisfactory
35.5,35.8,12.9,0.0,0.66,35.4,64.2,Satisfactory
13.2,34.6,15.5,13.7,0.0,37.9,38.9,Good
69.7,119.4,55.7,21.4,1.14,81.6,129.7,Moderate
48.2,98.3,27.6,0.9,0.23,0.0,96.9,Satisfactory
25.5,59.2,32.3,10.1,1.3,0.0,61.2,Satisfactory
21.4,46.4,21.8,5.4,0.5,0.0,53.7,Satisfactory
20.6,41.0,22.9,10.8,0.47,0.0,42.4,Good
15.2,55.8,13.2,12.7,0.87,56.9,51.8,Satisfactory
48.6,59.4,0.0,14.2,0.4,0.0,77.1,Satisfactory
47.9,73.6,48.3,23.3,0.21,63.9,79.2,Satisfactory
55.9,93.4,11.4,39.7,0.87,35.3,93.3,Satisfactory
15.7,24.8,11.5,0.6,0.0,17.1,25.4,Good
72.1,134.6,0.0,10.6,0.65,6.8,137.9,Moderate
70.8,98.7,66.0,38.7,1.92,42.4,134.3,Moderate
87.8,125.2,46.4,33.1,1.78,57.8,196.1,Moderate
64.9,110.9,56.9,13.5,2.02,61.3,114.6,Moderate
63.0,75.3,37.1,1.2,1.72,0.0,115.0,Moderate
61.4,113.8,22.5,13.4,0.99,0.8,105.2,Moderate
32.9,62.2,17.2,0.6,0.0,18.9,59.3,Satisfactory
82.1,165.2,31.8,23.8,1.67,55.3,168.2,Moderate
16.4,29.6,17.1,15.9,0.46,22.8,25.4,Good
68.8,90.5,13.8,40.3,1.09,38.7,126.8,Moderate
32.0,38.8,13.8,31.6,0.31,38.0,51.2,Satisfactory
21.6,30.5,2.6,24.1,0.71,3.8,37.9,Good
61.5,94.4,24.3,13.3,1.15,38.6,100.8,Moderate
148.3,270.5,100.5,48.6,2.6,76.8,323.1,Very Poor
22.2,21.4,27.8,5.6,0.7,15.6,37.0,Good
13.9,26.8,31.3,9.2,1.47,17.1,72.8,Satisfactory
33.2,77.0,5.7,16.7,1.28,36.6,80.2,Satisfactory
156.5,237.2,122.5,40.4,2.42,139.1,332.8,Very Poor
7.5,0.0,0.0,0.0,0.0,14.3,15.0,Good
20.6,50.7,42.8,11.9,0.82,48.5,50.1,Satisfactory
139.6,206.7,95.4,46.9,3.87,97.2,313.5,Very Poor
29.1,35.6,33.3,0.3,0.0,24.4,46.9,Good
30.7,74.6,38.9,0.0,0.17,20.7,75.6,Satisfactory
61.0,98.3,31.3,18.7,1.54,100.9,101.7,Moderate
136.5,262.6,80.0,39.1,3.16,123.6,318.2,Very Poor
46.8,87.0,40.3,19.1,1.37,58.4,91.1,Satisfactory
31.0,56.9,14.2,18.1,0.0,22.4,55.7,Satisfactory
73.5,110.3,54.9,26.5,0.88,79.9,146.9,Moderate
121.3,170.5,75.7,25.0,1.7,77.2,301.5,Very Poor
21.5,35.1,28.1,0.0,0.43,1.0,39.4,Good
0.0,0.0,17.7,21.7,0.33,3.9,32.7,Good
17.4,29.6,12.7,21.1,0.96,23.7,44.3,Good
149.4,219.8,86.5,62.5,2.1,79.5,320.6,Very Poor
150.0,216.0,69.2,58.4,2.6,132.3,324.1,Very Poor
87.1,174.4,71.9,28.0,1.91,63.2,194.8,Moderate
25.5,29.5,11.4,0.0,0.42,1.4,45.0,Good
28.9,40.1,0.0,0.0,1.22,50.7,62.3,Satisfactory
77.5,97.9,51.9,14.4,2.31,82.5,157.7,Moderate
42.5,67.0,17.8,4.0,0.7,71.0,72.9,Satisfactory
68.1,86.9,73.0,35.2,1.59,52.1,129.2,Moderate
85.9,175.6,44.0,39.2,1.66,106.5,184.2,Moderate
34.6,49.5,18.2,9.2,0.68,43.5,59.3,Satisfactory
66.5,135.6,58.5,26.4,1.62,77.3,120.7,Moderate
39.8,70.4,4.8,21.7,0.0,0.0,71.0,Satisfactory
62.9,130.0,27.4,12.3,1.28,48.0,115.2,Moderate
142.7,229.7,78.6,48.0,2.89,115.2,315.8,Very Poor
118.6,168.8,105.6,49.4,2.45,125.4,286.7,Poor
18.9,34.5,8.6,25.6,0.61,41.9,41.8,Good
27.5,38.4,0.0,16.0,0.11,0.0,44.6,Good
61.2,94.6,47.2,46.8,1.75,73.6,107.2,Moderate
22.8,30.3,11.4,13.3,0.39,29.7,37.7,Good
30.2,42.6,41.7,17.5,1.34,0.0,73.2,Satisfactory
15.2,36.7,0.0,12.1,0.0,2.5,42.5,Good
142.9,255.9,90.3,47.6,3.84,108.8,318.3,Very Poor
39.0,92.7,29.8,12.4,0.0,47.7,89.3,Satisfactory
38.1,66.6,36.2,10.5,0.24,34.3,70.2,Satisfactory
53.4,93.5,72.6,24.5,1.62,61.5,93.6,Satisfactory
16.4,4.7,13.1,0.0,0.52,8.5,32.3,Good
