City,Date,PM2.5,PM10,NO2,SO2,CO,O3,AQI
Ahmedabad,2015-01-29,83.13,107.67,28.71,49.52,6.93,59.76,209.0
Ahmedabad,2015-01-30,79.84,107.67,28.68,48.49,13.85,97.07,328.0
Ahmedabad,2015-01-31,94.52,107.67,32.66,67.39,24.39,111.33,514.0
Ahmedabad,2015-02-01,135.99,107.67,42.08,75.23,43.48,102.7,782.0
Ahmedabad,2015-02-02,178.33,107.67,35.31,55.04,54.56,107.38,914.0
Ahmedabad,2015-02-03,139.7,107.67,28.4,33.79,30.61,73.6,660.0
Ahmedabad,2015-02-04,80.65,107.67,22.83,25.73,2.37,47.3,294.0
Ahmedabad,2015-02-05,58.36,107.67,21.39,32.66,2.6,53.54,149.0
Ahmedabad,2015-02-06,79.29,107.67,26.94,67.41,1.16,59.3,190.0
Ahmedabad,2015-02-07,88.7,107.67,31.32,80.09,7.29,44.76,247.0
Ahmedabad,2015-02-08,74.28,107.67,27.3,54.28,8.92,47.42,379.0
Ahmedabad,2015-02-09,113.93,107.67,24.27,48.73,4.32,39.94,341.0
Ahmedabad,2015-02-10,105.39,107.67,18.21,35.91,1.41,56.15,256.0
Ahmedabad,2015-02-11,66.52,107.67,23.8,66.58,6.34,53.14,388.0
Ahmedabad,2015-02-12,65.04,107.67,30.1,65.91,14.19,31.88,288.0
Ahmedabad,2015-02-13,103.36,107.67,39.56,80.43,18.18,40.11,510.0
Ahmedabad,2015-02-14,177.33,107.67,47.58,99.72,37.49,36.47,761.0
Ahmedabad,2015-02-15,113.25,107.67,30.5,69.71,15.55,33.78,475.0
Ahmedabad,2015-02-16,99.7,107.67,28.1,73.23,19.85,30.57,536.0
Ahmedabad,2015-02-17,80.61,107.67,21.04,54.7,15.96,36.2,479.0
Ahmedabad,2015-02-18,100.79,107.67,25.93,43.11,16.24,37.43,592.0
Ahmedabad,2015-02-19,107.99,107.67,30.09,84.86,11.25,31.94,427.0
Ahmedabad,2015-02-20,140.29,107.67,36.14,101.53,33.84,40.98,588.0
Ahmedabad,2015-02-21,239.96,107.67,46.25,84.87,61.95,33.55,1141.0
Ahmedabad,2015-02-22,142.96,107.67,48.21,62.96,45.45,34.77,669.0
Ahmedabad,2015-02-23,238.41,107.67,55.07,89.07,77.7,37.3,1247.0
Ahmedabad,2015-02-24,118.72,107.67,32.01,61.54,12.56,38.8,411.0
Ahmedabad,2015-02-25,52.99,107.67,10.45,32.76,2.23,67.25,292.0
Ahmedabad,2015-03-02,60.78,107.67,18.21,29.48,9.07,34.75,189.0
Ahmedabad,2015-03-03,91.83,107.67,28.71,39.71,12.99,38.46,408.0
Ahmedabad,2015-03-04,93.88,107.67,29.38,62.75,18.21,46.79,383.0
Ahmedabad,2015-03-05,173.01,107.67,42.27,78.76,48.44,59.39,780.0
Ahmedabad,2015-03-08,71.56,107.67,16.83,30.28,3.51,57.16,190.0
Ahmedabad,2015-03-09,119.8,107.67,24.07,50.35,4.13,50.49,233.0
Ahmedabad,2015-03-10,106.71,107.67,25.59,38.85,5.39,60.17,297.0
Ahmedabad,2015-03-11,118.49,107.67,28.94,54.2,4.11,53.61,330.0
Ahmedabad,2015-03-12,106.01,107.67,27.31,70.29,4.28,40.91,252.0
Ahmedabad,2015-03-13,97.34,107.67,21.58,64.39,3.67,45.69,244.0
Ahmedabad,2015-03-14,83.92,107.67,25.03,67.53,6.42,34.94,234.0
Ahmedabad,2015-03-15,49.51,107.67,14.16,48.33,3.1,37.95,219.0
Ahmedabad,2015-03-16,30.76,107.67,14.14,43.62,2.72,54.78,118.0
Ahmedabad,2015-03-17,50.29,107.67,29.84,59.23,5.34,45.44,231.0
Ahmedabad,2015-03-18,57.69,107.67,29.48,58.33,25.36,52.87,286.0
Ahmedabad,2015-03-19,105.06,107.67,37.05,53.62,46.24,45.65,883.0
Ahmedabad,2015-03-20,94.1,107.67,36.53,61.31,22.14,46.77,720.0
Ahmedabad,2015-03-21,111.89,107.67,43.29,66.44,22.25,50.57,570.0
Ahmedabad,2015-03-22,108.59,107.67,39.34,75.8,25.38,46.68,589.0
Ahmedabad,2015-03-23,130.76,107.67,41.03,65.77,45.61,41.58,818.0
Ahmedabad,2015-03-24,143.55,107.67,31.15,50.98,27.3,35.38,737.0
Ahmedabad,2015-03-25,165.07,107.67,34.48,64.32,23.83,43.79,585.0
Ahmedabad,2015-03-26,166.85,107.67,43.3,79.71,17.93,53.44,616.0
Ahmedabad,2015-03-27,147.38,107.67,35.82,46.89,6.4,17.94,437.0
Ahmedabad,2015-03-28,158.25,107.67,27.89,142.36,5.86,38.54,321.0
Ahmedabad,2015-03-29,237.76,107.67,21.8,96.28,4.99,39.77,372.0
Ahmedabad,2015-03-30,133.37,107.67,17.99,57.34,3.88,39.66,339.0
Ahmedabad,2015-03-31,133.3,107.67,20.0,51.58,6.52,59.03,339.0
Ahmedabad,2015-04-01,96.04,107.67,20.07,62.42,3.8,46.61,324.0
Ahmedabad,2015-04-02,77.69,107.67,18.87,100.48,5.24,27.14,222.0
Ahmedabad,2015-04-03,53.07,107.67,13.82,40.36,4.17,21.76,169.0
Ahmedabad,2015-04-04,63.11,107.67,15.5,38.21,5.63,4.72,220.0
Ahmedabad,2015-04-06,120.96,107.67,20.86,35.54,4.23,35.66,303.0
Ahmedabad,2015-04-07,138.63,107.67,25.47,87.43,5.65,29.77,314.0
Ahmedabad,2015-04-08,144.36,107.67,30.69,66.39,15.82,27.34,378.0
Ahmedabad,2015-04-09,85.03,107.67,26.7,59.16,3.3,35.89,415.0
Ahmedabad,2015-04-11,61.06,107.67,14.03,8.08,3.52,19.54,126.0
Ahmedabad,2015-04-12,39.42,107.67,19.56,17.66,5.28,31.3,175.0
Ahmedabad,2015-04-13,111.86,107.67,22.51,15.84,3.89,31.23,226.0
Ahmedabad,2015-04-14,58.37,107.67,21.71,25.9,5.74,43.92,244.0
Ahmedabad,2015-04-15,95.37,107.67,26.23,13.59,18.01,41.64,315.0
Ahmedabad,2015-04-16,141.3,107.67,36.88,41.06,30.8,37.66,678.0
Ahmedabad,2015-04-17,106.68,107.67,46.38,31.56,19.91,48.49,774.0
Ahmedabad,2015-04-18,109.48,107.67,20.27,46.6,4.3,31.34,285.0
Ahmedabad,2015-04-19,126.04,107.67,20.18,79.56,6.99,28.71,321.0
Ahmedabad,2015-04-20,71.22,107.67,21.32,50.09,16.73,28.39,358.0
Ahmedabad,2015-04-21,97.87,107.67,17.96,13.85,6.3,34.16,357.0
Ahmedabad,2015-04-22,63.38,107.67,13.28,24.79,3.44,43.62,189.0
Ahmedabad,2015-04-24,80.9,107.67,18.62,65.44,5.7,22.8,214.0
Ahmedabad,2015-04-25,103.29,107.67,19.82,85.42,4.55,22.18,253.0
Ahmedabad,2015-04-26,107.5,107.67,15.56,74.37,5.29,10.12,239.0
Ahmedabad,2015-04-29,138.42,107.67,16.7,77.74,5.05,27.18,300.0
Ahmedabad,2015-04-30,129.04,107.67,14.86,78.27,5.69,18.67,317.0
Ahmedabad,2015-05-01,96.65,107.67,15.9,39.41,4.67,11.83,240.0
Ahmedabad,2015-05-02,126.77,107.67,23.93,93.18,15.69,36.71,344.0
Ahmedabad,2015-05-03,106.15,107.67,23.02,65.95,13.12,81.6,503.0
Ahmedabad,2015-05-04,86.31,107.67,10.5,50.13,2.69,90.54,308.0
Ahmedabad,2015-05-05,83.99,107.67,0.08,34.06,2.73,69.57,227.0
Ahmedabad,2015-05-06,65.11,107.67,4.58,22.27,3.14,32.26,120.0
Ahmedabad,2015-05-07,51.03,107.67,20.47,15.5,6.24,31.44,158.0
Ahmedabad,2015-05-08,38.73,107.67,19.28,20.13,8.0,25.7,177.0
Ahmedabad,2015-05-09,61.12,107.67,17.82,39.69,9.94,25.9,201.0
Ahmedabad,2015-05-10,58.44,107.67,17.24,54.69,10.68,18.89,211.0
Ahmedabad,2015-05-11,61.49,107.67,16.69,42.66,11.44,18.2,221.0
Ahmedabad,2015-05-12,65.39,107.67,16.08,27.96,12.3,22.35,233.0
Ahmedabad,2015-05-13,100.92,107.67,18.9,31.9,20.42,22.84,481.0
Ahmedabad,2015-05-14,97.48,107.67,30.02,36.05,5.31,16.26,352.0
Ahmedabad,2015-05-15,129.27,107.67,28.33,70.13,14.28,25.4,327.0
Ahmedabad,2015-05-16,129.58,107.67,28.79,17.66,21.23,34.42,577.0
Ahmedabad,2015-05-17,100.57,107.67,18.79,38.76,7.56,38.83,411.0
Ahmedabad,2015-05-18,130.34,107.67,17.43,52.07,7.14,29.05,212.0
Ahmedabad,2015-05-19,53.24,107.67,15.86,36.23,8.05,21.58,280.0
Ahmedabad,2015-05-20,42.0,107.67,18.16,17.0,10.44,25.5,162.0
Ahmedabad,2015-05-22,83.69,107.67,17.18,41.12,10.89,35.61,569.0
Ahmedabad,2015-05-23,38.88,107.67,16.28,26.4,2.18,12.47,128.0
Ahmedabad,2015-05-24,46.89,107.67,16.17,41.96,2.96,10.74,129.0
Ahmedabad,2015-05-25,70.96,107.67,15.47,23.67,4.12,16.01,152.0
Ahmedabad,2015-05-26,53.66,107.67,14.43,14.46,4.23,45.64,176.0
Ahmedabad,2015-05-27,45.49,107.67,13.73,12.85,4.26,71.85,167.0
Ahmedabad,2015-05-28,60.86,107.67,16.61,14.91,5.27,41.19,106.0
Ahmedabad,2015-05-29,51.93,107.67,17.87,15.33,13.71,12.88,231.0
Ahmedabad,2015-05-30,77.87,107.67,17.12,46.82,6.67,16.67,327.0
Ahmedabad,2015-05-31,57.59,107.67,15.47,41.68,5.6,25.51,174.0
Ahmedabad,2015-06-01,77.22,107.67,15.47,71.97,7.02,9.56,185.0
Ahmedabad,2015-06-02,45.29,107.67,12.74,18.64,7.25,6.32,179.0
Ahmedabad,2015-06-03,103.78,107.67,13.9,7.76,6.36,15.27,211.0
Ahmedabad,2015-06-04,25.14,107.67,18.73,38.05,6.01,38.52,192.0
Ahmedabad,2015-06-05,87.03,107.67,17.88,23.84,8.05,48.22,310.0
Ahmedabad,2015-06-06,89.6,107.67,19.84,48.05,6.59,44.78,223.0
Ahmedabad,2015-06-07,80.69,107.67,16.07,39.85,6.86,32.65,192.0
Ahmedabad,2015-06-08,44.75,107.67,16.53,9.89,7.76,8.07,191.0
Ahmedabad,2015-06-09,38.11,107.67,11.62,3.13,7.41,6.69,184.0
Ahmedabad,2015-06-10,45.5,107.67,15.59,0.76,8.56,3.82,220.0
Ahmedabad,2015-06-11,36.98,107.67,11.52,0.52,8.21,5.17,215.0
Ahmedabad,2015-06-12,43.58,107.67,13.33,1.02,8.26,7.56,226.0
Ahmedabad,2015-06-13,45.49,107.67,14.91,0.81,9.63,2.94,251.0
Ahmedabad,2015-06-14,38.06,107.67,18.57,1.05,8.67,4.63,216.0
Ahmedabad,2015-06-15,45.41,107.67,20.55,0.74,9.35,4.5,237.0
Ahmedabad,2015-06-16,37.71,107.67,16.26,0.87,8.54,4.6,198.0
